"","state","week_end","delay.adj.count.lcl","delay.adj.count.med","delay.adj.count.ucl"
"1","AK","2020-03-07",80.2100162386594,81.3611774830071,82.788264561436
"2","AK","2020-03-14",90.0969881629818,91.3868136779036,93.2266217836214
"3","AK","2020-03-21",67.316792231094,68.415069575641,69.9363320961537
"4","AK","2020-03-28",84.107086473482,85.6434644799983,87.7363263056637
"5","AK","2020-04-04",99.1450341361682,101.330347346884,103.98242155446
"6","AK","2020-04-11",83.9980730928168,86.1708894868825,88.7776051636806
"7","AK","2020-04-18",77.2836732703452,79.8999188007374,82.9501783717532
"8","AK","2020-04-25",61.5100582411252,64.2734103236957,67.4016732074466
"9","AL","2020-03-07",1047.40226582147,1049.97122995713,1052.97340711207
"10","AL","2020-03-14",1070.8845408057,1073.90490033629,1076.89002677837
"11","AL","2020-03-21",1054.83268810092,1058.8607889472,1062.22293414958
"12","AL","2020-03-28",1056.77123820157,1060.81965943319,1065.00634587154
"13","AL","2020-04-04",1141.24283212066,1146.18179768741,1151.46954629496
"14","AL","2020-04-11",1127.83049118819,1134.23226601696,1140.4578923843
"15","AL","2020-04-18",1108.36799255161,1116.03987925031,1123.5580464218
"16","AL","2020-04-25",1047.47970868826,1056.39973747776,1065.64168861877
"17","AR","2020-03-07",695.58909931444,696.557822316225,697.781447575608
"18","AR","2020-03-14",625.004720359731,626.036745432532,627.339206232416
"19","AR","2020-03-21",633.879182608714,635.152078514991,636.589534813874
"20","AR","2020-03-28",632.139299269245,633.75563182249,635.852234388559
"21","AR","2020-04-04",609.218770457246,610.943200008986,613.286587900045
"22","AR","2020-04-11",631.967234006302,634.172621161151,636.746631502602
"23","AR","2020-04-18",642.975863989823,646.121333019085,649.69131054276
"24","AR","2020-04-25",603.046652348035,607.073197449208,611.599887322216
"25","AZ","2020-03-07",1381.91043631186,1384.05425912385,1386.3410667294
"26","AZ","2020-03-14",1345.97675325917,1348.10937788315,1350.88985770741
"27","AZ","2020-03-21",1283.8048379749,1286.03948734933,1289.2046791521
"28","AZ","2020-03-28",1323.56265299217,1326.23664808112,1329.93791457289
"29","AZ","2020-04-04",1353.73320791406,1356.85241920805,1361.01387758642
"30","AZ","2020-04-11",1401.54494936856,1405.44817749245,1410.50526036035
"31","AZ","2020-04-18",1313.14819405916,1318.40630759853,1324.30530123518
"32","AZ","2020-04-25",1369.01623045875,1376.30124964188,1385.18109747228
"33","CA","2020-03-07",5721.01385739796,5724.76421707523,5729.1744312691
"34","CA","2020-03-14",5456.07260113688,5460.26795729032,5465.16103460679
"35","CA","2020-03-21",5669.64121063205,5674.58104101591,5680.62801049651
"36","CA","2020-03-28",5671.72188285716,5676.94373709257,5683.61550341393
"37","CA","2020-04-04",5950.18689887127,5957.23057394725,5964.72029484355
"38","CA","2020-04-11",5980.00903357914,5988.29200257741,5998.39609607239
"39","CA","2020-04-18",6013.76697913759,6025.3005881164,6037.14723042451
"40","CA","2020-04-25",5553.65290801516,5569.05035146637,5586.81213342897
"41","CO","2020-03-07",822.197224808381,823.277624317757,825.075642702661
"42","CO","2020-03-14",817.698051921031,818.921624068888,821.292197185306
"43","CO","2020-03-21",891.366274934863,892.873654501525,895.412183467309
"44","CO","2020-03-28",854.876851858161,856.54791894853,859.14150445869
"45","CO","2020-04-04",963.442918961569,965.62224162064,968.753255014633
"46","CO","2020-04-11",1090.78975193527,1093.61008620964,1097.15030967596
"47","CO","2020-04-18",1098.45280267924,1101.7896300966,1106.03434608813
"48","CO","2020-04-25",1039.48975585624,1043.65110939928,1048.48851726314
"49","DC","2020-03-07",119.337729572723,120.635803803515,122.212040485909
"50","DC","2020-03-14",111.736634492306,113.217093247322,114.91374853681
"51","DC","2020-03-21",127.82378380969,129.627426053934,131.60799115193
"52","DC","2020-03-28",126.593454323443,128.81929044126,131.109551450824
"53","DC","2020-04-04",154.508392714861,157.368481090754,160.605813406332
"54","DC","2020-04-11",177.910676913629,181.967409082287,185.843448331482
"55","DC","2020-04-18",182.218973141492,186.747448512748,191.917976589438
"56","DC","2020-04-25",196.877331352534,203.046232228041,210.461314713257
"57","DE","2020-03-07",204.212187165037,210.915151275121,223.096620165771
"58","DE","2020-03-14",196.661796231292,202.949406352629,215.470217528408
"59","DE","2020-03-21",233.760914623567,242.294463883989,257.785416193339
"60","DE","2020-03-28",198.0749321678,207.419416308444,224.32773066445
"61","DE","2020-04-04",228.634111501111,243.300687514269,271.949043997625
"62","DE","2020-04-11",227.95416852665,250.899747826691,294.469997062349
"63","DE","2020-04-18",235.823738673904,272.079279391217,338.113096538951
"64","DE","2020-04-25",315.619112554068,373.626683031326,470.109662904329
"65","FL","2020-03-07",4530.31065667987,4532.57226860164,4535.6797847534
"66","FL","2020-03-14",4447.40991523033,4450.31939111668,4453.82297643654
"67","FL","2020-03-21",4373.42188280152,4376.28822548338,4379.98433344862
"68","FL","2020-03-28",4475.23096934146,4478.87076472083,4482.61057430207
"69","FL","2020-04-04",4513.57613146447,4517.88430329234,4522.21595163699
"70","FL","2020-04-11",4557.31028285067,4561.75578769357,4566.45041211702
"71","FL","2020-04-18",4434.94911468111,4439.9731774357,4446.31956531892
"72","FL","2020-04-25",4536.24699934331,4544.01098253283,4552.24165172829
"73","GA","2020-03-07",1739.69260033553,1744.46717323525,1748.97238335688
"74","GA","2020-03-14",1753.70456916592,1758.47614210515,1763.6988613365
"75","GA","2020-03-21",1738.68517179781,1743.63892592173,1749.86199736954
"76","GA","2020-03-28",1821.81605587806,1827.95676096084,1835.96608807038
"77","GA","2020-04-04",1945.84528738333,1953.18476759639,1962.46466773269
"78","GA","2020-04-11",1940.54231353834,1948.98582207619,1959.26389490145
"79","GA","2020-04-18",1894.69339166506,1905.24574943253,1918.15344623383
"80","GA","2020-04-25",1873.196058243,1887.76906888579,1903.78423566213
"81","HI","2020-03-07",237.925987061934,238.849954738509,239.942326652255
"82","HI","2020-03-14",243.004382765211,243.933204351312,245.05361964717
"83","HI","2020-03-21",212.239685601643,213.072839898334,214.111931078089
"84","HI","2020-03-28",232.501837672445,233.390867335468,234.547869237024
"85","HI","2020-04-04",234.770237151147,235.916066331181,237.175231679588
"86","HI","2020-04-11",222.262624911151,223.492842328763,224.789674264604
"87","HI","2020-04-18",209.895907234774,211.238129150725,212.816929121793
"88","HI","2020-04-25",202.387487956018,204.182915810254,206.273371421362
"89","IA","2020-03-07",620.023662187015,621.343484944223,623.139303969299
"90","IA","2020-03-14",634.418999444036,635.915741415016,638.074787427877
"91","IA","2020-03-21",593.639460405343,595.578476771637,597.705875712215
"92","IA","2020-03-28",595.428717816957,597.585208613312,600.240166855792
"93","IA","2020-04-04",608.86310650633,611.443731643378,614.61047146501
