"","week","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York City","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","US","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2,0.606530659712633,0.367879441171442,0.740818220681718,0.740818220681718,0.818730753077982,0.818730753077982,3.71703186841267e-05,0.301194211912202,0.606530659712633,0.818730753077982,0.548811636094026,0.818730753077982,0.818730753077982,0.818730753077982,0.548811636094026,0.740818220681718,0.818730753077982,0.406569659740599,0.49658530379141,1,0.818730753077982,0.818730753077982,0.740818220681718,0.818730753077982,0.818730753077982,0.670320046035639,0.548811636094026,0.740818220681718,0.740818220681718,1,0.740818220681718,0.606530659712633,0.90483741803596,0.90483741803596,0.060810062625218,0.670320046035639,0.33287108369808,0.606530659712633,0.548811636094026,0.818730753077982,0.367879441171442,0.740818220681718,0.670320046035639,0.740818220681718,0.606530659712633,0.606530659712633,0.90483741803596,0.740818220681718,0.740818220681718,0.818730753077982,0.165298888221587,0.818730753077982,0.670320046035639
"2",3,0.789214183765368,0.614476405113049,0.890386839904353,0.8632746489347,0.954066036314595,0.929533911440316,5.08445147498077e-05,0.423650640165184,0.808427177707289,0.929533911440316,0.750708154088682,0.984029641299568,0.918989596800786,0.929533911440316,0.795408600035633,0.851621379044052,0.941187181330964,0.653166623682206,0.698481821786065,1.02237077185617,0.909448706367394,0.929533911440316,0.890386839904353,0.8795408157032,0.918989596800786,0.805655329272252,0.821343429128039,0.942714738676373,0.876153503918331,1.03019738342232,0.942714738676373,0.808427177707289,0.995555371325372,0.945599622014326,0.0632888148018843,0.853003570088374,0.605402876732092,0.789214183765368,0.771941796242456,0.909448706367394,0.700750524869522,0.906117108903304,0.872216564030295,0.8632746489347,0.829660819861063,0.77182954793422,1.00509626175876,0.942714738676373,0.876153503918331,0.968299372300617,0.437830681255599,0.954066036314595,0.835618934257226
"3",4,0.871299182389267,0.736932833366031,0.940173908272217,0.913061717302564,0.990949203715835,0.954257437910655,0.00229371223423561,0.497924218379518,0.890512176331188,0.951904683296481,0.850966997811486,1.00640041315573,0.93730523568952,0.970296115418682,0.877493598659532,0.89667058143761,0.98194938530933,0.788501906918818,0.809284980148399,1.02484952403283,0.936772428814687,0.954257437910655,0.935436042297911,0.912914085663526,0.968776665168649,0.879928907486586,0.932146587490373,0.987763941069931,0.921202706311888,1.03764396649324,0.972912122098692,0.882700755921623,1.0289286412857,0.954694899116022,0.0733406505465179,0.943721523377786,0.828533036880522,0.879932137054781,0.894398224495438,0.929690617813199,0.902647042864177,0.939490378863631,0.933026626655513,0.913061717302564,0.903934398075397,0.853914546558119,1.01737360166183,1.00992025141612,0.921202706311888,0.998496755722935,0.620514205308334,0.994828240292961,0.90989251247156
"4",5,0.912061386367633,0.811206411580365,0.955169485092695,0.933303628748368,1.0032265436189,0.962487184959675,0.0113889893359314,0.547711286747382,0.927395343732428,0.958642630295567,0.900754066179349,1.01139200706264,0.94553498273854,0.98257345532175,0.910866868619858,0.916912492883414,0.996944962129808,0.862775485133152,0.876490492888149,1.02854738774931,0.949049768717755,0.962487184959675,0.952008717699672,0.93315599710933,0.989018576614454,0.916812074887826,0.959470309937665,1.00800585251574,0.945926232782228,1.03988683421273,0.979008868664207,0.919583923322863,1.03802391838739,0.957722453861397,0.0733655665562494,0.988770725771344,0.939336195242856,0.924981339448338,0.961603737235188,0.937920364862219,0.957670262920585,0.949542214608264,0.969909794056753,0.933303628748368,0.93125812052269,0.894676750536485,1.02482018473276,1.01239900359279,0.945926232782228,1.00854859146757,0.803197729361068,1.0059372368312,0.9467756798728
"5",6,0.934432158223799,0.860993479948229,0.96126623165821,0.943355464493002,1.00874310803966,0.967003765902288,0.0196187363849515,0.647970130470186,0.945710982621162,0.961988595753038,0.925477592649689,1.01638360096955,0.950051563681152,0.989311402320836,0.931108780065662,0.930481051895615,1.00439154520073,0.90782468752671,0.917252696866515,1.03128683256808,0.954041362624666,0.967478778866585,0.960238464748692,0.945433337012399,1.0001275731527,0.939182846743992,0.965567056503181,1.01710112961743,0.955978068526861,1.03990353591352,0.982354834121679,0.946907645770155,1.03986022316442,0.958953365764071,0.0734210181556816,1.00104806567441,0.980098399221222,0.943296978337073,0.991801120657506,0.94343692928298,0.971238821932785,0.954533808515174,0.986482469458514,0.945580968651437,0.944826679534891,0.912992389425219,1.0261805527703,1.01239903134362,0.959494791794429,1.01057802210386,0.893915682650481,1.01203398339672,0.957884676411042
"6",7,0.949427735044276,0.883364251804394,0.964964095374693,0.950093411492087,1.01282987947813,0.968234677804961,0.0200715635678383,0.730055129094084,0.96070655944164,0.963219507655712,0.940473169470167,1.01886235314622,0.952080994317448,0.993009266037319,0.947681455467423,0.937927634966539,1.0084783166392,0.935148409974003,0.947450080288833,1.03129055922126,0.958557943567278,0.969957531043252,0.964325236187156,0.955485172757032,1.00511916705961,0.957498485632726,0.968045808679847,1.02319787618295,0.964207815575881,1.04072864083678,0.985382388867055,0.963480321171917,1.0415217804376,0.959778470687337,0.106794288116008,1.00439403113188,0.993666958233423,0.954405974875315,1.00407846056057,0.946176374101748,0.986234398753263,0.96127175551426,0.990569240896978,0.952318915650522,0.953056426583911,0.927987966245697,1.02655129631076,1.01375939938117,0.967724538843449,1.01169179725171,0.924113066072799,1.0157318471132,0.95924504444859
"7",8,0.955524481609792,0.894473248342636,0.966993526010989,0.953120966237463,1.01507274719761,0.970477545524447,0.0200715862882982,0.785078349150492,0.964052524899111,0.964333282803556,0.955468746290644,1.02134110532289,0.953441362354996,0.995038696673614,0.956776732569119,0.944665581965625,1.01121776145796,0.951721085375764,0.967691991734638,1.03129670343361,0.961036695743945,0.9709653164723,0.966568103906642,0.959183036473515,1.00881703077609,0.971067044644927,0.969707365953021,1.02689573989943,0.968294587014345,1.04072882637592,0.988121833685823,0.980052996573678,1.04207486480774,0.960389723448466,0.37932608115002,1.00642346176818,0.998183539176036,0.965514971413557,1.01017520712609,0.948205804738044,0.990750979695876,0.968009702513345,0.992405545674007,0.956016779367005,0.957573007526523,0.942983543066175,1.02755908173981,1.01380957406323,0.976819815945145,1.01319523644469,0.939108642893277,1.01756815189023,0.962591009906061
"8",9,0.961041046030553,0.902702995391656,0.969236393730475,0.956818829953946,1.01657618639059,0.971837913561995,0.022314454007784,0.812402071597784,0.969044118806021,0.965693650841104,0.965520582035278,1.02134135577452,0.953502645850049,0.996152471821459,0.962873479134635,0.947693136711001,1.01456372691544,0.965289644387965,0.979969331637706,1.03129678680172,0.962873000520973,0.972801621249329,0.96930754872541,0.964699600894276,1.01290380221455,0.98111888038956,0.97154367073005,1.0281266518021,0.971992450730828,1.04275825701222,0.990151264322119,0.989148273675374,1.0429867467733,0.961214828371732,0.625923045091627,1.00743124719723,1.0006622913527,0.970506565320467,1.01241807484558,0.95068455691471,0.993229731872542,0.974106449078861,0.995751511131478,0.959044334112381,0.961659778964987,0.957979119886652,1.02838418666308,1.01380964949781,0.982336380365905,1.01503154122172,0.945846589892363,1.0200469040669,0.966288873622544
"9",10,0.965127817469017,0.913811991929899,0.970148275696029,0.95848038722712,1.01793655442814,0.972338364995436,0.0373100308282617,0.832643983043589,0.975140865371537,0.966246735211252,0.972258529034363,1.02382010795119,0.953614311658539,0.996828010596653,0.966960250573099,0.951039102168472,1.01622528418861,0.97438492148966,0.99002116738234,1.0317496139846,0.963243744061433,0.97330207268277,0.973394320163874,0.967727155639652,1.01474010699158,0.987856827388646,0.973205228003224,1.02843019094018,0.973828755507857,1.04277193120828,0.991382176224792,0.997378020724394,1.04326140034327,0.961826081132862,0.761258328328239,1.00744970543122,1.00127354411383,0.976603311885983,1.01266659167268,0.956781303480226,0.994141613838097,0.981553032149785,0.995842935362956,0.960275246015054,0.963902646684473,0.968030955631286,1.02879392164206,1.01382810773181,0.986034244082388,1.01577812703009,0.952584536891448,1.02072244284209,0.966288949057128
"10",11,0.967867262287785,0.923863827674532,0.971984580473058,0.959840755264668,1.01916746633081,0.972891449365583,0.0378104822617023,0.841739260145284,0.980657429792297,0.966993321019629,0.978355275599879,1.02383248087545,0.953619342114147,0.997076527423761,0.968989681209395,0.95377854698724,1.0184681519081,0.980481668055176,0.996117913947855,1.03225006541804,0.963653479040412,0.975331503319065,0.976740285621346,0.968402694414846,1.01721885916825,0.991554691105129,0.97403033292649,1.02943797636923,0.975332194700835,1.04332501557843,0.992389961653841,1.00146479216286,1.04359686297117,0.962326532566302,0.816281548384647,1.0074509459263,1.0020986490371,0.979949277343454,1.01349169659595,0.961772897387136,1.00023836040361,0.984292476968554,0.995954601171447,0.960886498776184,0.966145514403959,0.974768902630371,1.02920365662104,1.01385302374154,0.988512996259055,1.01743968430327,0.954827404610934,1.02105790546999,0.966356677793619
