"","week","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York City","New York","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1",2,0.606530659712633,0.367879441171442,0.740818220681718,0.740818220681718,0.818730753077982,0.818730753077982,0.33287108369808,0.49658530379141,0.818730753077982,0.548811636094026,0.818730753077982,0.818730753077982,0.818730753077982,0.606530659712633,0.818730753077982,0.818730753077982,0.449328964117222,0.49658530379141,1,0.818730753077982,0.818730753077982,0.740818220681718,0.818730753077982,0.818730753077982,0.670320046035639,0.49658530379141,0.670320046035639,0.740818220681718,1,0.740818220681718,0.548811636094026,0.90483741803596,0.90483741803596,0.740818220681718,0.33287108369808,0.606530659712633,0.548811636094026,0.818730753077982,0.301194211912202,0.740818220681718,0.670320046035639,0.740818220681718,0.606530659712633,0.90483741803596,0.818730753077982,0.740818220681718,0.740818220681718,0.201896517994655,0.818730753077982,0.670320046035639
"2",3,0.789214183765368,0.591009601319872,0.890386839904353,0.876153503918331,0.954066036314595,0.941187181330964,0.498169971919666,0.719715463939839,0.941187181330964,0.750708154088682,0.968299372300617,0.918989596800786,0.929533911440316,0.85312762365424,0.929533911440316,0.929533911440316,0.672459124265651,0.698481821786065,1.01831563888873,0.918989596800786,0.941187181330964,0.876153503918331,0.885936265817732,0.918989596800786,0.819888665258274,0.797779515703612,0.853003570088374,0.890386839904353,1.02732372244729,0.942714738676373,0.750708154088682,0.979110996250293,0.938210687996286,0.906117108903304,0.634065295610282,0.808427177707289,0.771941796242456,0.909448706367394,0.602388423824404,0.906117108903304,0.893450206184069,0.876153503918331,0.829660819861063,0.995555371325372,0.968299372300617,0.876153503918331,0.923501744734453,0.503090729906858,0.954066036314595,0.819888665258274
"3",4,0.879932137054781,0.726344884556485,0.935436042297911,0.925940572286195,0.990949203715835,0.971384564753282,0.580254970543565,0.819974307662643,0.968510903778256,0.850966997811486,0.998496755722935,0.93730523568952,0.966417078841556,0.927401201868574,0.974583113833874,0.970296115418682,0.794915552518633,0.809284980148399,1.02383220330949,0.949186980223104,0.965910707801303,0.931176723974738,0.91613364924005,0.964038799194343,0.894162243472608,0.947348134926247,0.908026790144781,0.94541005996076,1.03284028686805,0.987763941069931,0.832793152712581,1.00930837967261,0.949319684534528,0.955904177271168,0.835961813604937,0.899145130996701,0.907277079479069,0.946331873768634,0.80428494181906,0.943000276304544,0.954260268809287,0.921202706311888,0.911745818484962,1.00912393033757,1.01334857469417,0.921202706311888,0.96855094712801,0.685774253959592,0.990949203715835,0.901973663882173
"4",5,0.920694341033147,0.800618462770819,0.949004601310112,0.94831134414236,1.00451776272804,0.982493561291525,0.635278190599972,0.869761376030507,0.976740650827276,0.900754066179349,1.01206531473514,0.946400512791216,0.981412655662033,0.9607744718289,0.994825025279678,0.98529169223916,0.862121065258383,0.876490492888149,1.02657164812826,0.960295976761346,0.975962543545937,0.953547495830903,0.936375560685854,0.982354438083078,0.927535513432934,0.980721404886573,0.948788994123147,0.9701335864311,1.03557973168682,1.00275951789041,0.873555356690947,1.02158571957568,0.953836265477141,0.980627703741508,0.92667976689435,0.944194333390259,0.981550657693403,0.958609213671703,0.886369940442958,0.955277616207613,0.991143436210527,0.939518345200623,0.939069540932255,1.01522067690309,1.01608801951294,0.945926232782228,0.980828287031079,0.835342873182227,1.0032265436189,0.935346933842499
"5",6,0.940936252478951,0.861428525396037,0.956451184381036,0.960588684045429,1.01061450929355,0.98923150829061,0.725996143889385,0.899958759452826,0.98082742226574,0.928077788626642,1.01658189567775,0.950917093733828,0.988150602661119,0.979090110717634,1.00710236518275,0.99352143928818,0.902883269236749,0.917252696866515,1.02807508732124,0.965812541182107,0.980954137452847,0.967116054843104,0.946427396430488,0.992406273827711,0.9499062852891,0.987459351885658,0.963784570943625,0.982410926334168,1.03649161365238,1.01098926493943,0.900879079138239,1.02710228399644,0.956079133196626,0.987365650740593,0.96356293429559,0.966565105246425,1.01174804111572,0.966055796742627,0.919743210403285,0.962015563206698,1.0034207761136,0.950627341738865,0.952638099944456,1.01645158880576,1.0160941637253,0.959494791794429,0.984526150747562,0.902548385921977,1.00996449061799,0.951919609244261
"6",7,0.955931829299429,0.883799297252202,0.9605379558195,0.968035267116353,1.01470128073202,0.991710260467276,0.808081142513283,0.916531434854587,0.982330861458718,0.946393427515376,1.01960945042312,0.953395845910495,0.992237374099583,0.994085687538112,1.01319911174826,0.998038020230792,0.925254041092915,0.947450080288833,1.02808876151731,0.97032912212472,0.982983568089143,0.97321280140862,0.955522673532184,0.998503020393227,0.970148196734904,0.991975932828271,0.97123115401455,0.990640673383188,1.03731671857564,1.01550584588204,0.919194718026974,1.03080014771292,0.9573100450993,0.989027208013767,0.97713149330779,0.978842445149493,1.02531660012792,0.970142568181091,0.949940593825603,0.970245310255718,1.01015872311268,0.958073924809789,0.96008468301538,1.01768250070844,1.01775572099847,0.967724538843449,0.987004902924228,0.924919157778143,1.01331045607546,0.955265574701732
"7",8,0.964161576348449,0.900371972653964,0.962780823538986,0.971733130832836,1.01744072555078,0.993739691103572,0.853130344906841,0.925626711956283,0.983444636606563,0.961389004335854,1.02208820259979,0.954307727876049,0.994480241819069,1.00318096463981,1.01871567616902,1.00077746504956,0.940249617913393,0.967691991734638,1.02808876491557,0.973356676870096,0.984645125362317,0.976910665125103,0.958262118350952,1.00258979183169,0.985143773555382,0.996492513770884,0.977969101013635,0.996737419948704,1.03731747097394,1.01885181133951,0.935767393428735,1.03353959253169,0.958670413136848,0.990140983161612,0.983228239873306,0.991119785052562,1.03276318319885,0.973488533638562,0.962217933728671,0.978475057304738,1.01138963501535,0.962590505752402,0.964171454453844,1.01891341261111,1.01776401481763,0.975171121914373,0.989247770643714,0.934970993522776,1.01533988671176,0.956927131974906
"8",9,0.970258322913965,0.912649312557032,0.964810254175282,0.9758199022713,1.01910228282396,0.994853466251417,0.873372256352646,0.936735708494525,0.984452422035611,0.972498000874096,1.02456695477646,0.954369011371102,0.996141799092243,1.00869752906057,1.02206164162649,1.00351690986833,0.952526957816461,0.981260550746839,1.02809061551677,0.975386107506391,0.98630668263549,0.980997436563567,0.962778699293565,1.00667656327015,0.997421113458451,0.998735381490369,0.979329469051183,1.00082419138717,1.03867783901149,1.02133056351618,0.944862670530431,1.03537589730872,0.959901325039521,0.990550718140592,0.985967684692075,0.999349532101582,1.03610914865632,0.976834499096034,0.967209527635582,0.985921640375663,1.01473560047283,0.96532995057117,0.967869318170327,1.02027378064866,1.0177677414708,0.980687686335134,0.99127720128001,0.939487574465389,1.01758275443124,0.960624995691389
"9",10,0.975774887334725,0.929221987958793,0.965924029323126,0.977481459544474,1.02060572201694,0.995600052059794,0.888367833173123,0.944965455543545,0.985127960810805,0.979944583945021,1.02659638541275,0.954371509421428,0.997372710994916,1.01239539277705,1.02575950534298,1.004747821771,0.961622234918157,0.992369547285081,1.02846135905723,0.975795842485371,0.987218564601045,0.985989030470477,0.966476563010048,1.00870599390645,1.00747294920308,1.00039693876354,0.980337254480231,1.00330294356383,1.0386982385149,1.02283400270916,0.952309253601355,1.03660680921139,0.96090911046857,0.990591797695817,0.987328052729622,1.00608747910067,1.03734006055899,0.981826093002944,0.969452395355067,0.993368223446587,1.01476923356801,0.967359381207466,0.970608762989095,1.0216341486862,1.01837899423193,0.984033651792605,0.992102306203276,0.944004155408002,1.01813583880139,0.960775728766484
"10",11,0.978802442080101,0.936668571029718,0.967284397360674,0.978595234692319,1.02171949716478,0.996425156983059,0.895105780172209,0.949482036486158,0.985953065734071,0.985461148365781,1.02809982460573,0.954373769750835,0.997743454535375,1.01423169755408,1.02849895016175,1.00625126096398,0.967138799338918,0.999816130356005,1.0286454648509,0.976620947408637,0.988722003794023,0.989334995927948,0.967836931047596,1.01118474608312,1.01298951362384,1.00095002313369,0.981083840288608,1.00480638275681,1.03906898205536,1.02406491461183,0.956396025039819,1.03743191413466,0.962140022371243,0.990592413707443,0.988239934695177,1.00882692391944,1.03857097246166,0.986817686909854,0.974443989261978,0.996107668265355,1.01627267276099,0.96827126317302,0.972638193625391,1.0223096874614,1.0183801166783,0.986063082428901,0.993462674240823,0.945507594600979,1.01868892317154,0.960785858860083
